incident_id,opened_at,resolved_at,service,ci_id,category,subcategory,priority,short_description,resolution_notes,assigned_team,environment,error_code,related_change
INC01118,2026-01-15 18:55,2026-01-16 00:55,kyc-service,CI-1091,Network,Error,P2-High,ID verification API rate limited,Cleared cache; service recovered,Platform-Ops,Production,ERR-9693,
INC01029,2026-01-15 22:40,2026-01-15 23:40,mobile-api,CI-1088,Network,Timeout,P2-High,Mobile API intermittent 504 timeouts from us-west-2 AZ-c,Traffic rerouted away from AZ-c; monitoring for recurrence,Network-Ops,Production,ERR-5040,
INC01108,2026-01-16 08:05,2026-01-16 20:05,auth-service,CI-1015,Security,General,P3-Medium,Password reset emails delayed,Increased resource allocation; performance improved,Platform-Ops,Production,ERR-3002,
INC01131,2026-01-16 13:52,2026-01-16 14:52,fraud-detection,CI-1055,Security,Configuration,P4-Low,False positive rate spike on fraud rules,Network team resolved connectivity issue,Security-Ops,Production,ERR-4862,
INC01079,2026-01-16 21:22,2026-01-17 03:22,loan-origination,CI-1079,Security,Configuration,P1-Critical,Loan application PDF generation failing,Identified and fixed data issue; verified,Network-Ops,Staging,ERR-5722,CHG0170
INC01034,2026-01-17 07:41,2026-01-17 09:41,kyc-service,CI-1091,Database,General,P2-High,KYC document upload timeout for large files,Network team resolved connectivity issue,Network-Ops,Staging,ERR-4502,
INC01033,2026-01-18 13:12,2026-01-18 21:12,account-ledger,CI-1031,Software,Timeout,P2-High,Ledger sync delay between regions,Cleared cache; service recovered,DBA-Team,Staging,ERR-5092,CHG0020
INC01076,2026-01-19 13:41,2026-01-19 16:41,fraud-detection,CI-1055,Software,Configuration,P1-Critical,False positive rate spike on fraud rules,Cleared cache; service recovered,DBA-Team,Production,ERR-8195,CHG0032
INC01003,2026-01-20 22:05,2026-01-20 23:05,payment-gateway,CI-1042,Application,Memory,P1-Critical,Heap overflow on payment gateway - customer payments rejected,Restarted payment-gateway pods; memory returned to normal,DevOps,Production,ERR-5012,CHG0042
INC01049,2026-01-21 12:26,2026-01-21 23:26,kyc-service,CI-1091,Application,Access,P2-High,KYC check returning incorrect risk score,Bug fix deployed; issue confirmed resolved,DBA-Team,Staging,ERR-9977,
INC01126,2026-01-21 22:05,2026-01-22 05:05,account-ledger,CI-1031,Application,Error,P3-Medium,Account balance display rounding error,Identified and fixed data issue; verified,DBA-Team,Production,ERR-4509,CHG0088
INC01098,2026-01-22 07:02,2026-01-22 09:02,auth-service,CI-1015,Network,Access,P1-Critical,Password reset emails delayed,Increased resource allocation; performance improved,App-Support,Staging,ERR-8432,CHG0095
INC01040,2026-01-22 14:07,2026-01-22 23:07,auth-service,CI-1015,Hardware,Error,P2-High,MFA push notifications failing for 5 users,Escalated to vendor; workaround applied,Security-Ops,Production,ERR-6617,
INC01025,2026-01-22 21:30,2026-01-23 00:30,mobile-api,CI-1088,Network,Timeout,P2-High,mobile-api requests from us-west-2 AZ-c timing out; other AZs unaffected,Shifted mobile-api pods to AZ-a and AZ-b; issue avoided for now,Network-Ops,Production,ERR-5040,
INC01123,2026-01-24 07:28,2026-01-24 19:28,kyc-service,CI-1091,Hardware,Configuration,P1-Critical,KYC check returning incorrect risk score,Cleared cache; service recovered,Platform-Ops,Production,ERR-8172,
INC01087,2026-01-24 08:30,2026-01-24 18:30,fraud-detection,CI-1055,Network,Configuration,P4-Low,Fraud alert not triggering for flagged account,Applied configuration change; monitoring,DBA-Team,Staging,ERR-6188,CHG0161
INC01125,2026-01-24 16:05,2026-01-24 19:05,reporting-engine,CI-1044,Database,Error,P3-Medium,Report export to CSV producing empty file,Network team resolved connectivity issue,App-Support,Production,ERR-6072,CHG0144
INC01099,2026-01-24 19:41,2026-01-25 05:41,reporting-engine,CI-1044,Hardware,Access,P4-Low,Report export to CSV producing empty file,Restarted service; issue resolved,DevOps,Production,ERR-4559,CHG0114
INC01062,2026-01-26 09:49,2026-01-26 11:49,account-ledger,CI-1031,Software,Configuration,P1-Critical,Ledger sync delay between regions,Bug fix deployed; issue confirmed resolved,DevOps,Staging,ERR-7498,
INC01011,2026-01-26 16:23,2026-01-26 19:23,auth-service,CI-1015,Application,Authentication,P1-Critical,Token refresh endpoint returning invalid_grant errors,Applied hotfix to token validation; monitoring stable,DevOps,Production,ERR-4401,CHG0078
INC01012,2026-01-26 16:34,2026-01-26 18:34,auth-service,CI-1015,Application,Authentication,P1-Critical,JWT signature mismatch causing mass login failures,Cleared Redis session cache; auth latency normalized,Security-Ops,Production,ERR-4401,CHG0102
INC01128,2026-01-26 20:02,2026-01-27 07:02,reporting-engine,CI-1044,Security,Configuration,P2-High,Report export to CSV producing empty file,Bug fix deployed; issue confirmed resolved,DBA-Team,Staging,ERR-4833,
INC01004,2026-01-27 22:45,2026-01-28 01:45,payment-gateway,CI-1042,Application,Memory,P2-High,Payment service heap exhaustion - 503 errors to mobile app,Restarted service; heap usage dropped; transactions resumed,DevOps,Production,ERR-5012,CHG0042
INC01066,2026-01-28 21:13,2026-01-29 03:13,account-ledger,CI-1031,Network,Configuration,P3-Medium,Ledger sync delay between regions,Increased resource allocation; performance improved,Platform-Ops,Production,ERR-2402,CHG0062
INC01032,2026-01-29 09:06,2026-01-29 15:06,fraud-detection,CI-1055,Application,Access,P4-Low,Fraud detection model scoring latency,Rolled back recent change; service stable,DevOps,Production,ERR-2612,CHG0016
INC01070,2026-01-29 15:14,2026-01-29 20:14,auth-service,CI-1015,Network,Performance,P1-Critical,LDAP sync error for new employee accounts,Increased resource allocation; performance improved,App-Support,Production,ERR-1745,
INC01045,2026-01-30 20:22,2026-01-31 00:22,web-portal,CI-1023,Network,Performance,P1-Critical,JavaScript error on account summary page,Network team resolved connectivity issue,DBA-Team,Production,ERR-2137,
INC01050,2026-01-31 19:50,2026-02-01 06:50,notification-service,CI-1067,Database,Timeout,P3-Medium,Email notification queue backlog,Rolled back recent change; service stable,Network-Ops,Production,ERR-9375,
INC01056,2026-02-01 08:26,2026-02-01 17:26,mobile-api,CI-1088,Security,Configuration,P4-Low,Push notification delivery delay,Restarted service; issue resolved,App-Support,Staging,ERR-7381,
INC01132,2026-02-02 06:20,2026-02-02 17:20,account-ledger,CI-1031,Hardware,Error,P3-Medium,Account balance display rounding error,Cleared cache; service recovered,Platform-Ops,Production,ERR-8740,
INC01020,2026-02-02 09:10,2026-02-02 14:10,account-ledger,CI-1031,Database,Connection Pool,P1-Critical,Account ledger DB connection pool exhausted - transactions blocked,Terminated month-end report batch; connections restored to normal,DBA-Team,Production,ERR-3200,
INC01127,2026-02-02 10:09,2026-02-02 12:09,web-portal,CI-1023,Hardware,Configuration,P1-Critical,Session timeout too aggressive for web users,Bug fix deployed; issue confirmed resolved,App-Support,Staging,ERR-3527,
INC01026,2026-02-02 17:48,2026-02-02 20:48,mobile-api,CI-1088,Network,Timeout,P2-High,mobile-api requests from us-west-2 AZ-c timing out; other AZs unaffected,Shifted mobile-api pods to AZ-a and AZ-b; issue avoided for now,Network-Ops,Production,ERR-5040,
INC01028,2026-02-03 02:21,2026-02-03 03:21,mobile-api,CI-1088,Network,Timeout,P2-High,Elevated latency on mobile-api; packet loss detected in us-west-2c,Traffic rerouted away from AZ-c; monitoring for recurrence,Network-Ops,Production,ERR-5040,
INC01069,2026-02-03 09:46,2026-02-03 11:46,notification-service,CI-1067,Software,Configuration,P2-High,SMS notifications not sending to international numbers,Patched application; issue fixed in next release,DevOps,Staging,ERR-5530,
INC01097,2026-02-03 21:01,2026-02-04 03:01,auth-service,CI-1015,Database,Timeout,P2-High,LDAP sync error for new employee accounts,Applied configuration change; monitoring,DevOps,Staging,ERR-5951,CHG0167
INC01005,2026-02-03 23:51,2026-02-04 00:51,payment-gateway,CI-1042,Application,Memory,P1-Critical,payment-gateway memory spike causing transaction timeouts,Killed hung processes; recycled pods; monitoring restored,App-Support,Production,ERR-5012,CHG0042
INC01082,2026-02-04 11:19,2026-02-04 20:19,reporting-engine,CI-1044,Database,General,P4-Low,Scheduled report failed to generate,Patched application; issue fixed in next release,Platform-Ops,Staging,ERR-2924,
INC01115,2026-02-06 15:20,2026-02-06 23:20,mobile-api,CI-1088,Hardware,General,P4-Low,Mobile app crash on Android 14 after latest update,Cleared cache; service recovered,Network-Ops,Production,ERR-9196,
INC01039,2026-02-07 10:59,2026-02-07 14:59,kyc-service,CI-1091,Network,General,P3-Medium,ID verification API rate limited,Cleared cache; service recovered,Network-Ops,Production,ERR-9666,
INC01038,2026-02-07 18:08,2026-02-07 23:08,web-portal,CI-1023,Application,Error,P4-Low,Session timeout too aggressive for web users,Applied configuration change; monitoring,Platform-Ops,Staging,ERR-2638,
INC01113,2026-02-08 20:42,2026-02-09 06:42,auth-service,CI-1015,Security,Access,P4-Low,MFA push notifications failing for 5 users,Escalated to vendor; workaround applied,App-Support,Production,ERR-6655,
INC01121,2026-02-09 07:22,2026-02-09 12:22,notification-service,CI-1067,Database,General,P4-Low,Email notification queue backlog,Restarted service; issue resolved,Platform-Ops,Production,ERR-5703,
INC01110,2026-02-09 13:51,2026-02-09 23:51,auth-service,CI-1015,Security,Timeout,P1-Critical,LDAP sync error for new employee accounts,Escalated to vendor; workaround applied,Platform-Ops,Production,ERR-5477,
INC01084,2026-02-09 19:21,2026-02-09 20:21,auth-service,CI-1015,Database,Configuration,P3-Medium,LDAP sync error for new employee accounts,Escalated to vendor; workaround applied,Security-Ops,Staging,ERR-3434,CHG0115
INC01013,2026-02-10 00:43,2026-02-10 03:43,auth-service,CI-1015,Application,Authentication,P1-Critical,Auth service returning 401 for valid credentials,Rolled back auth-service to v2.13.9; logins restored,Security-Ops,Production,ERR-4401,CHG0095
INC01014,2026-02-10 01:04,2026-02-10 03:04,auth-service,CI-1015,Application,Authentication,P3-Medium,Token refresh endpoint returning invalid_grant errors,Applied hotfix to token validation; monitoring stable,App-Support,Production,ERR-4401,CHG0095
INC01091,2026-02-10 11:04,2026-02-10 21:04,loan-origination,CI-1079,Security,Configuration,P3-Medium,Loan status stuck in processing for 12 hours,Network team resolved connectivity issue,DevOps,Production,ERR-8484,
INC01006,2026-02-10 22:13,2026-02-11 00:13,payment-gateway,CI-1042,Application,Memory,P1-Critical,Payment gateway OutOfMemoryError - transactions failing,Restarted service; heap usage dropped; transactions resumed,Platform-Ops,Production,ERR-5012,CHG0042
INC01051,2026-02-10 22:42,2026-02-11 04:42,auth-service,CI-1015,Application,Timeout,P1-Critical,Password reset emails delayed,Escalated to vendor; workaround applied,App-Support,Production,ERR-3414,
INC01138,2026-02-11 12:02,2026-02-11 18:02,payment-gateway,CI-1042,Software,General,P3-Medium,Payment reconciliation mismatch,Increased resource allocation; performance improved,Network-Ops,Production,ERR-1599,
INC01135,2026-02-11 19:00,2026-02-11 23:00,mobile-api,CI-1088,Database,Configuration,P4-Low,Mobile app crash on Android 14 after latest update,Applied configuration change; monitoring,Security-Ops,Production,ERR-2108,
INC01083,2026-02-11 22:45,2026-02-12 06:45,loan-origination,CI-1079,Network,Access,P4-Low,Loan application PDF generation failing,Rolled back recent change; service stable,Security-Ops,Production,ERR-7284,
INC01134,2026-02-12 09:03,2026-02-12 20:03,web-portal,CI-1023,Software,Access,P4-Low,Web portal slow page load times,Applied configuration change; monitoring,Network-Ops,Production,ERR-9443,
INC01094,2026-02-13 20:02,2026-02-14 08:02,payment-gateway,CI-1042,Database,Configuration,P2-High,Slow response times on payment gateway,Escalated to vendor; workaround applied,DBA-Team,Staging,ERR-3877,
INC01047,2026-02-14 19:38,2026-02-15 02:38,account-ledger,CI-1031,Database,General,P2-High,Ledger sync delay between regions,Restarted service; issue resolved,DevOps,Staging,ERR-1027,
INC01085,2026-02-16 18:29,2026-02-17 06:29,account-ledger,CI-1031,Network,Performance,P2-High,Ledger sync delay between regions,Patched application; issue fixed in next release,Network-Ops,Production,ERR-6213,CHG0191
INC01015,2026-02-17 00:56,2026-02-17 04:56,auth-service,CI-1015,Application,Authentication,P1-Critical,SSO authentication loop - users stuck on login page,Restarted auth pods; issue self-resolved after cache clear,App-Support,Production,ERR-4401,CHG0102
INC01030,2026-02-17 02:32,2026-02-17 03:32,mobile-api,CI-1088,Network,Timeout,P3-Medium,Sporadic gateway timeouts for mobile users routed through us-west-2c,Restarted NLB in us-west-2c; latency normalized temporarily,Network-Ops,Production,ERR-5040,
INC01016,2026-02-17 05:16,2026-02-17 09:16,auth-service,CI-1015,Application,Authentication,P3-Medium,JWT signature mismatch causing mass login failures,Applied hotfix to token validation; monitoring stable,App-Support,Production,ERR-4401,CHG0079
INC01060,2026-02-17 18:17,2026-02-17 20:17,account-ledger,CI-1031,Security,Configuration,P4-Low,Account balance display rounding error,Increased resource allocation; performance improved,Platform-Ops,Production,ERR-4673,
INC01107,2026-02-17 20:25,2026-02-17 22:25,fraud-detection,CI-1055,Security,Error,P3-Medium,Fraud detection model scoring latency,Identified and fixed data issue; verified,DevOps,Production,ERR-7132,CHG0040
INC01007,2026-02-17 23:54,2026-02-18 01:54,payment-gateway,CI-1042,Application,Memory,P2-High,Payment gateway OutOfMemoryError - transactions failing,Restarted service; heap usage dropped; transactions resumed,DevOps,Production,ERR-5012,CHG0042
INC01111,2026-02-18 06:11,2026-02-18 17:11,account-ledger,CI-1031,Software,Timeout,P4-Low,Account balance display rounding error,Cleared cache; service recovered,DevOps,Production,ERR-2503,
INC01119,2026-02-18 10:15,2026-02-18 15:15,account-ledger,CI-1031,Hardware,Performance,P2-High,Account balance display rounding error,Bug fix deployed; issue confirmed resolved,App-Support,Production,ERR-3902,CHG0198
INC01139,2026-02-19 07:55,2026-02-19 12:55,notification-service,CI-1067,Application,Configuration,P1-Critical,Email notification queue backlog,Network team resolved connectivity issue,Network-Ops,Staging,ERR-7334,
INC01043,2026-02-20 07:57,2026-02-20 18:57,notification-service,CI-1067,Network,Performance,P2-High,Duplicate alert emails being sent,Applied configuration change; monitoring,DBA-Team,Staging,ERR-3532,
INC01100,2026-02-20 09:43,2026-02-20 20:43,web-portal,CI-1023,Network,Timeout,P3-Medium,Web portal slow page load times,Network team resolved connectivity issue,DBA-Team,Production,ERR-3001,
INC01081,2026-02-20 21:40,2026-02-21 01:40,kyc-service,CI-1091,Security,General,P3-Medium,KYC check returning incorrect risk score,Cleared cache; service recovered,DBA-Team,Staging,ERR-8941,
INC01095,2026-02-20 22:32,2026-02-21 03:32,kyc-service,CI-1091,Network,Performance,P4-Low,ID verification API rate limited,Identified and fixed data issue; verified,Platform-Ops,Staging,ERR-2233,
INC01124,2026-02-21 15:24,2026-02-22 02:24,account-ledger,CI-1031,Security,Configuration,P1-Critical,Ledger sync delay between regions,Applied configuration change; monitoring,DBA-Team,Production,ERR-7333,
INC01035,2026-02-22 06:24,2026-02-22 11:24,mobile-api,CI-1088,Network,Access,P4-Low,Mobile API returning stale account balances,Increased resource allocation; performance improved,DevOps,Staging,ERR-3536,
INC01027,2026-02-22 14:57,2026-02-22 17:57,mobile-api,CI-1088,Network,Timeout,P3-Medium,Mobile API intermittent 504 timeouts from us-west-2 AZ-c,Restarted NLB in us-west-2c; latency normalized temporarily,Network-Ops,Production,ERR-5040,
INC01057,2026-02-22 21:00,2026-02-23 04:00,reporting-engine,CI-1044,Network,Configuration,P4-Low,Dashboard widgets showing stale data,Increased resource allocation; performance improved,Security-Ops,Production,ERR-8999,
INC01086,2026-02-23 10:31,2026-02-23 19:31,fraud-detection,CI-1055,Hardware,Performance,P3-Medium,False positive rate spike on fraud rules,Rolled back recent change; service stable,Platform-Ops,Staging,ERR-1251,
INC01116,2026-02-24 07:27,2026-02-24 09:27,auth-service,CI-1015,Hardware,Access,P3-Medium,LDAP sync error for new employee accounts,Network team resolved connectivity issue,Security-Ops,Staging,ERR-7843,
INC01008,2026-02-24 22:59,2026-02-25 00:59,payment-gateway,CI-1042,Application,Memory,P1-Critical,Heap overflow on payment gateway - customer payments rejected,Killed hung processes; recycled pods; monitoring restored,DevOps,Production,ERR-5012,CHG0042
INC01037,2026-02-25 09:56,2026-02-25 19:56,web-portal,CI-1023,Database,Performance,P1-Critical,Web portal slow page load times,Network team resolved connectivity issue,DevOps,Production,ERR-5272,
INC01077,2026-02-25 14:32,2026-02-25 22:32,notification-service,CI-1067,Database,Access,P1-Critical,Duplicate alert emails being sent,Restarted service; issue resolved,Network-Ops,Production,ERR-5102,
INC01044,2026-02-26 06:11,2026-02-26 13:11,mobile-api,CI-1088,Application,Configuration,P2-High,Push notification delivery delay,Cleared cache; service recovered,DevOps,Production,ERR-7267,CHG0010
INC01073,2026-02-27 13:49,2026-02-27 21:49,kyc-service,CI-1091,Database,Access,P4-Low,ID verification API rate limited,Bug fix deployed; issue confirmed resolved,Network-Ops,Production,ERR-1986,
INC01112,2026-02-27 20:21,2026-02-28 01:21,fraud-detection,CI-1055,Software,Configuration,P3-Medium,Fraud alert not triggering for flagged account,Bug fix deployed; issue confirmed resolved,Platform-Ops,Production,ERR-3549,
INC01064,2026-02-27 21:06,2026-02-28 08:06,payment-gateway,CI-1042,Security,Configuration,P4-Low,Payment gateway SSL cert warning,Network team resolved connectivity issue,App-Support,Production,ERR-9817,CHG0199
INC01105,2026-02-28 09:31,2026-02-28 11:31,fraud-detection,CI-1055,Application,Access,P1-Critical,Fraud detection model scoring latency,Bug fix deployed; issue confirmed resolved,App-Support,Production,ERR-3067,
INC01053,2026-02-28 13:11,2026-02-28 21:11,auth-service,CI-1015,Application,Timeout,P1-Critical,LDAP sync error for new employee accounts,Patched application; issue fixed in next release,Platform-Ops,Staging,ERR-3184,
INC01048,2026-03-01 08:42,2026-03-01 14:42,account-ledger,CI-1031,Network,Timeout,P1-Critical,Ledger sync delay between regions,Increased resource allocation; performance improved,DBA-Team,Staging,ERR-6344,
INC01065,2026-03-01 14:20,2026-03-01 19:20,loan-origination,CI-1079,Software,General,P4-Low,Loan application PDF generation failing,Rolled back recent change; service stable,Security-Ops,Staging,ERR-6511,CHG0008
INC01055,2026-03-02 08:45,2026-03-02 13:45,notification-service,CI-1067,Network,Performance,P3-Medium,Email notification queue backlog,Increased resource allocation; performance improved,Platform-Ops,Production,ERR-3471,CHG0060
INC01042,2026-03-02 19:35,2026-03-02 21:35,mobile-api,CI-1088,Hardware,General,P2-High,Mobile API returning stale account balances,Restarted service; issue resolved,DBA-Team,Production,ERR-8041,
INC01018,2026-03-02 23:38,2026-03-03 00:38,auth-service,CI-1015,Application,Authentication,P2-High,JWT signature mismatch causing mass login failures,Cleared Redis session cache; auth latency normalized,DevOps,Production,ERR-4401,CHG0091
INC01017,2026-03-03 02:31,2026-03-03 03:31,auth-service,CI-1015,Application,Authentication,P1-Critical,OAuth token validation failing - users unable to login,Restarted auth pods; issue self-resolved after cache clear,DevOps,Production,ERR-4401,CHG0079
INC01021,2026-03-03 06:55,2026-03-03 10:55,account-ledger,CI-1031,Database,Connection Pool,P1-Critical,Connection pool saturation on ledger database - 0 available connections,Increased max_pool_size temporarily; restarted ledger service,Platform-Ops,Production,ERR-3200,
INC01133,2026-03-03 06:57,2026-03-03 11:57,loan-origination,CI-1079,Hardware,General,P2-High,Loan application PDF generation failing,Increased resource allocation; performance improved,DevOps,Staging,ERR-2821,
INC01136,2026-03-06 07:40,2026-03-06 12:40,fraud-detection,CI-1055,Security,Configuration,P1-Critical,Fraud detection model scoring latency,Applied configuration change; monitoring,DBA-Team,Production,ERR-2698,
INC01052,2026-03-06 08:29,2026-03-06 18:29,web-portal,CI-1023,Security,Error,P2-High,CSS rendering issue on Safari,Rolled back recent change; service stable,Network-Ops,Production,ERR-3417,
INC01129,2026-03-06 12:23,2026-03-06 20:23,notification-service,CI-1067,Application,Timeout,P4-Low,Email notification queue backlog,Network team resolved connectivity issue,Security-Ops,Staging,ERR-3655,
INC01075,2026-03-06 15:02,2026-03-07 03:02,reporting-engine,CI-1044,Software,Configuration,P3-Medium,Dashboard widgets showing stale data,Rolled back recent change; service stable,Platform-Ops,Production,ERR-5334,
INC01092,2026-03-07 09:15,2026-03-07 15:15,fraud-detection,CI-1055,Security,Timeout,P3-Medium,Fraud alert not triggering for flagged account,Escalated to vendor; workaround applied,Platform-Ops,Staging,ERR-5497,
INC01058,2026-03-08 06:24,2026-03-08 17:24,fraud-detection,CI-1055,Network,Error,P4-Low,Fraud alert not triggering for flagged account,Cleared cache; service recovered,Network-Ops,Production,ERR-9751,CHG0007
INC01071,2026-03-08 09:55,2026-03-08 14:55,mobile-api,CI-1088,Hardware,Timeout,P4-Low,Push notification delivery delay,Rolled back recent change; service stable,DBA-Team,Production,ERR-1841,CHG0065
INC01041,2026-03-08 14:57,2026-03-09 01:57,kyc-service,CI-1091,Hardware,General,P4-Low,ID verification API rate limited,Restarted service; issue resolved,Platform-Ops,Production,ERR-3143,
INC01093,2026-03-09 15:49,2026-03-09 21:49,reporting-engine,CI-1044,Software,Timeout,P2-High,Dashboard widgets showing stale data,Patched application; issue fixed in next release,Security-Ops,Production,ERR-3240,
INC01140,2026-03-09 17:59,2026-03-09 19:59,loan-origination,CI-1079,Database,Configuration,P4-Low,Loan application PDF generation failing,Network team resolved connectivity issue,Security-Ops,Production,ERR-9937,
INC01046,2026-03-11 18:43,2026-03-11 19:43,account-ledger,CI-1031,Database,Configuration,P1-Critical,Ledger sync delay between regions,Cleared cache; service recovered,Security-Ops,Production,ERR-1626,CHG0028
INC01031,2026-03-16 04:46,2026-03-16 07:46,mobile-api,CI-1088,Network,Timeout,P3-Medium,Elevated latency on mobile-api; packet loss detected in us-west-2c,Shifted mobile-api pods to AZ-a and AZ-b; issue avoided for now,Network-Ops,Production,ERR-5040,
INC01067,2026-03-17 13:44,2026-03-18 01:44,loan-origination,CI-1079,Security,Error,P4-Low,Credit score API timeout during origination,Restarted service; issue resolved,Platform-Ops,Production,ERR-4630,
INC01096,2026-03-17 17:05,2026-03-17 22:05,fraud-detection,CI-1055,Security,General,P1-Critical,Fraud detection model scoring latency,Identified and fixed data issue; verified,DevOps,Production,ERR-7242,
INC01059,2026-03-18 06:05,2026-03-18 09:05,reporting-engine,CI-1044,Application,Access,P4-Low,Scheduled report failed to generate,Restarted service; issue resolved,DBA-Team,Staging,ERR-6363,CHG0055
INC01120,2026-03-18 20:43,2026-03-19 07:43,loan-origination,CI-1079,Database,Error,P3-Medium,Loan status stuck in processing for 12 hours,Identified and fixed data issue; verified,App-Support,Staging,ERR-2118,CHG0121
INC01078,2026-03-19 06:48,2026-03-19 16:48,web-portal,CI-1023,Application,Configuration,P1-Critical,JavaScript error on account summary page,Rolled back recent change; service stable,Security-Ops,Staging,ERR-5557,CHG0047
INC01068,2026-03-20 17:30,2026-03-20 23:30,notification-service,CI-1067,Database,Timeout,P4-Low,Duplicate alert emails being sent,Increased resource allocation; performance improved,DBA-Team,Production,ERR-8434,
INC01104,2026-03-21 09:28,2026-03-21 19:28,kyc-service,CI-1091,Database,Performance,P1-Critical,KYC check returning incorrect risk score,Increased resource allocation; performance improved,DBA-Team,Staging,ERR-1510,CHG0016
INC01063,2026-03-21 13:06,2026-03-22 00:06,auth-service,CI-1015,Application,Configuration,P1-Critical,LDAP sync error for new employee accounts,Restarted service; issue resolved,DBA-Team,Staging,ERR-7071,
INC01103,2026-03-21 16:01,2026-03-21 17:01,web-portal,CI-1023,Software,Configuration,P2-High,CSS rendering issue on Safari,Increased resource allocation; performance improved,Platform-Ops,Production,ERR-8802,
INC01114,2026-03-21 21:33,2026-03-21 22:33,notification-service,CI-1067,Application,Configuration,P2-High,Email notification queue backlog,Bug fix deployed; issue confirmed resolved,Platform-Ops,Production,ERR-4349,
INC01101,2026-03-22 06:03,2026-03-22 09:03,web-portal,CI-1023,Network,Performance,P2-High,Web portal slow page load times,Increased resource allocation; performance improved,App-Support,Production,ERR-4817,
INC01106,2026-03-22 22:18,2026-03-23 08:18,fraud-detection,CI-1055,Security,Timeout,P4-Low,False positive rate spike on fraud rules,Applied configuration change; monitoring,DevOps,Production,ERR-8046,
INC01122,2026-03-22 22:24,2026-03-23 07:24,reporting-engine,CI-1044,Security,Timeout,P1-Critical,Report export to CSV producing empty file,Bug fix deployed; issue confirmed resolved,DevOps,Production,ERR-6267,CHG0155
